,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,73,96,54,48,77,26,92,100,2440.0,3952.0,3382.0,3774.0,2956.0
1,63,57,40,60,96,30,80,97,2345.0,3947.0,2763.0,3703.0,2694.0
2,59,50,39,69,95,34,79,94,2344.0,3947.0,2763.0,3703.0,2698.0
3,65,44,37,65,94,35,86,96,2344.0,3947.0,2763.0,3704.0,2706.0
4,56,51,35,65,97,41,126,87,2345.0,3948.0,2763.0,3704.0,2709.0
5,53,58,41,76,83,45,119,79,2344.0,3948.0,2763.0,3704.0,2712.0
6,56,57,41,76,79,43,124,95,2341.0,3948.0,2764.0,3704.0,2715.0
7,61,60,41,74,97,43,127,98,E,r,r,o,r
8,63,59,41,79,99,43,127,99,2339.0,3948.0,2764.0,3704.0,2719.0
9,63,48,40,82,99,40,96,99,2358.0,3949.0,2765.0,3704.0,2724.0
10,85,47,35,76,98,46,116,183,E,r,r,o,r
11,107,51,34,75,98,50,116,198,2374.0,3950.0,2768.0,3707.0,2727.0
12,113,53,34,69,81,51,111,199,2399.0,3951.0,2766.0,3708.0,2727.0
13,113,51,40,68,79,50,110,207,2417.0,3952.0,2763.0,3710.0,2725.0
14,112,53,33,60,73,50,102,213,2436.0,3952.0,2763.0,3711.0,2724.0
15,109,77,40,57,69,42,81,146,2463.0,3952.0,2766.0,3712.0,2725.0
16,107,75,43,54,60,37,91,130,E,r,r,o,r
17,107,73,46,64,63,35,94,131,2492.0,3951.0,2766.0,3712.0,2733.0
18,109,75,51,64,68,43,109,130,2507.0,3950.0,2767.0,3712.0,2742.0
19,119,88,57,66,68,41,112,129,2513.0,3949.0,2769.0,3712.0,2748.0
20,112,76,61,66,70,43,112,151,2521.0,3949.0,2769.0,3712.0,2753.0
21,114,84,61,56,61,45,97,156,2535.0,3947.0,2770.0,3710.0,2767.0
22,129,95,66,65,69,52,98,209,2535.0,3947.0,2770.0,3709.0,2771.0
23,149,109,72,64,69,48,87,213,2560.0,3946.0,2769.0,3710.0,2773.0
24,166,111,79,70,74,55,90,224,2599.0,3945.0,2769.0,3710.0,2773.0
25,165,111,76,69,77,56,82,226,2619.0,3945.0,2767.0,3712.0,2774.0
26,157,116,79,72,77,56,92,230,2637.0,3945.0,2766.0,3712.0,2774.0
27,143,112,82,57,83,45,102,186,2660.0,3945.0,2764.0,3712.0,2775.0
28,119,98,74,58,85,44,103,184,2668.0,3945.0,2764.0,3713.0,2774.0
29,103,91,65,50,82,40,101,180,2671.0,3945.0,2764.0,3713.0,2775.0
30,134,97,78,54,82,42,103,217,2676.0,3945.0,2766.0,3713.0,2776.0
31,138,99,77,54,84,43,109,201,2679.0,3945.0,2766.0,3713.0,2776.0
32,146,101,75,52,69,48,104,210,2680.0,3946.0,2769.0,3712.0,2776.0
33,149,102,73,45,57,49,96,209,2683.0,3946.0,2772.0,3713.0,2776.0
34,157,113,77,52,57,47,99,219,2687.0,3946.0,2773.0,3713.0,2777.0
35,165,137,76,49,51,48,103,268,E,r,r,o,r
36,181,139,79,46,54,50,117,323,2687.0,3946.0,2774.0,3713.0,2778.0
37,199,139,76,48,50,50,113,349,2686.0,3947.0,2774.0,3713.0,2777.0
38,209,140,76,48,77,56,133,353,2686.0,3947.0,2775.0,3714.0,2777.0
39,194,126,69,44,77,56,129,351,2684.0,3946.0,2776.0,3715.0,2776.0
40,171,93,51,40,78,55,129,332,2682.0,3946.0,2775.0,3715.0,2776.0
41,154,84,41,38,75,53,106,329,2679.0,3946.0,2773.0,3715.0,2775.0
42,127,90,44,34,72,52,103,333,2675.0,3945.0,2771.0,3715.0,2773.0
43,125,90,46,33,45,45,77,353,2670.0,3945.0,2768.0,3716.0,2770.0
44,128,89,46,27,37,44,74,355,2665.0,3945.0,2766.0,3717.0,2766.0
45,129,84,49,34,38,40,67,326,2661.0,3941.0,2764.0,3720.0,2761.0
46,125,74,46,35,35,38,67,284,2660.0,3940.0,2763.0,3723.0,2758.0
47,112,53,47,43,34,36,61,234,2661.0,3940.0,2762.0,3725.0,2756.0
48,103,52,44,45,29,33,60,192,2662.0,3939.0,2762.0,3727.0,2753.0
49,92,47,42,44,29,33,58,159,2660.0,3939.0,2760.0,3732.0,2743.0
50,77,39,39,38,21,33,51,113,E,r,r,o,r
51,67,38,42,44,20,31,46,89,2630.0,3939.0,2756.0,3733.0,2733.0
52,65,46,33,36,18,31,51,82,2610.0,3939.0,2756.0,3733.0,2726.0
53,55,58,35,34,18,34,66,81,2559.0,3939.0,2756.0,3733.0,2714.0
54,57,71,37,34,22,50,82,82,2537.0,3939.0,2756.0,3732.0,2708.0
55,70,91,43,46,26,53,99,80,2511.0,3937.0,2756.0,3727.0,2700.0
56,70,96,47,41,32,68,112,73,2457.0,3934.0,2758.0,3725.0,2687.0
57,70,94,45,41,33,73,129,77,2457.0,3934.0,2758.0,3724.0,2683.0
58,60,90,54,55,35,74,135,84,2409.0,3929.0,2758.0,3729.0,2682.0
59,61,85,54,56,36,77,191,88,2409.0,3929.0,2760.0,3728.0,2682.0
60,54,81,51,46,34,79,193,92,2395.0,3924.0,2762.0,3727.0,2683.0
61,54,75,47,44,30,73,193,92,2391.0,3923.0,2763.0,3726.0,2683.0
62,53,74,49,45,32,74,194,88,2389.0,3923.0,2763.0,3726.0,2680.0
63,79,107,46,30,32,73,190,72,E,r,r,o,r
64,79,109,49,37,31,79,157,66,2390.0,3923.0,2761.0,3725.0,2679.0
65,78,97,45,36,37,85,185,64,2390.0,3926.0,2768.0,3725.0,2676.0
66,79,97,44,36,36,83,197,69,E,r,r,o,r
67,79,99,42,34,34,79,187,73,2390.0,3927.0,2776.0,3725.0,2675.0
68,55,71,33,32,32,88,189,73,2390.0,3926.0,2779.0,3727.0,2671.0
69,50,67,27,21,30,73,171,87,2392.0,3927.0,2779.0,3727.0,2670.0
70,42,67,35,36,23,62,139,85,2396.0,3929.0,2779.0,3730.0,2670.0
71,39,66,39,42,30,64,116,88,2396.0,3929.0,2778.0,3731.0,2670.0
72,38,64,38,43,29,63,122,86,E,r,r,o,r
73,32,48,37,43,30,56,114,102,2400.0,3930.0,2778.0,3730.0,2671.0
74,32,43,38,43,31,54,113,90,2398.0,3930.0,2777.0,3729.0,2671.0
75,40,52,38,42,33,55,123,87,2399.0,3930.0,2776.0,3729.0,2670.0
76,49,57,39,38,28,46,137,107,2399.0,3930.0,2774.0,3728.0,2670.0
77,54,61,39,37,32,56,162,107,2401.0,3930.0,2774.0,3728.0,2669.0
78,55,59,39,37,37,74,190,113,2405.0,3929.0,2773.0,3727.0,2669.0
79,55,58,38,39,40,91,262,140,2405.0,3929.0,2773.0,3726.0,2669.0
80,56,67,36,29,40,93,263,144,2406.0,3930.0,2773.0,3727.0,2670.0
81,49,64,35,26,40,93,261,128,2409.0,3933.0,2774.0,3727.0,2673.0
82,56,65,36,40,50,92,246,144,2415.0,3937.0,2782.0,3728.0,2676.0
83,116,103,64,62,68,81,246,212,2417.0,3939.0,2789.0,3730.0,2684.0
84,121,111,101,75,69,62,162,211,2410.0,3969.0,2806.0,3733.0,2700.0
85,123,123,186,87,70,57,148,215,E,r,r,o,r
86,127,126,196,93,74,65,140,230,2405.0,3999.0,2821.0,3738.0,2715.0
87,130,135,199,91,71,61,180,229,2418.0,4008.0,2824.0,3739.0,2718.0
88,83,113,196,79,53,51,153,165,2431.0,4015.0,2825.0,3740.0,2721.0
89,80,110,182,67,49,56,155,155,2433.0,4035.0,2828.0,3749.0,2728.0
90,83,92,96,54,48,56,158,165,2424.0,4048.0,2831.0,3759.0,2732.0
91,92,100,84,46,44,48,159,160,2401.0,4051.0,2831.0,3759.0,2734.0
92,85,86,80,48,41,58,122,152,2362.0,4052.0,2834.0,3771.0,2737.0
93,92,92,75,65,63,60,128,160,2325.0,4056.0,2842.0,3786.0,2742.0
94,99,114,76,67,66,63,131,148,2323.0,4060.0,2842.0,3786.0,2745.0
95,103,125,81,68,64,63,133,136,2322.0,4066.0,2859.0,3809.0,2752.0
96,103,117,74,69,66,68,131,171,2319.0,4068.0,2866.0,3818.0,2754.0
97,100,117,77,74,68,62,116,176,2316.0,4069.0,2870.0,3823.0,2756.0
98,94,112,73,63,53,57,110,165,2312.0,4070.0,2874.0,3825.0,2753.0
99,90,97,75,65,56,56,127,202,2313.0,4071.0,2879.0,3827.0,2745.0
100,111,89,79,70,65,55,139,297,2315.0,4071.0,2879.0,3827.0,2735.0
101,109,97,87,69,66,48,136,286,2316.0,4072.0,2875.0,3818.0,2715.0
102,111,109,137,77,66,44,139,292,2317.0,4071.0,2872.0,3800.0,2706.0
103,115,136,203,128,118,55,140,309,2319.0,4072.0,2872.0,3793.0,2701.0
104,113,131,227,139,118,48,124,310,2321.0,4072.0,2872.0,3789.0,2699.0
105,113,139,227,139,115,55,122,257,2324.0,4072.0,2869.0,3786.0,2696.0
106,120,142,223,140,115,58,137,278,2324.0,4071.0,2867.0,3779.0,2693.0
107,122,139,195,133,117,58,137,270,2321.0,4071.0,2865.0,3774.0,2693.0
108,119,116,151,86,60,52,133,272,2318.0,4071.0,2864.0,3773.0,2692.0
109,123,116,112,63,56,51,130,268,2315.0,4072.0,2863.0,3774.0,2693.0
110,110,108,105,57,58,44,145,246,2313.0,4072.0,2863.0,3774.0,2693.0
111,103,97,104,53,54,41,131,241,2312.0,4072.0,2862.0,3772.0,2693.0
112,101,91,107,52,47,38,125,249,2310.0,4071.0,2860.0,3770.0,2692.0
113,97,81,92,46,46,35,123,225,2310.0,4071.0,2860.0,3770.0,2692.0
114,88,76,89,46,43,33,119,199,2311.0,4071.0,2853.0,3760.0,2691.0
115,70,58,88,42,36,32,67,179,2312.0,4071.0,2853.0,3760.0,2690.0
116,53,51,100,42,36,30,63,133,2314.0,4071.0,2844.0,3753.0,2687.0
117,48,47,101,38,28,30,60,125,2316.0,4070.0,2830.0,3743.0,2686.0
118,49,50,116,36,27,30,54,126,2321.0,4067.0,2814.0,3736.0,2682.0
119,54,51,116,35,28,30,53,124,2328.0,4060.0,2801.0,3725.0,2672.0
120,51,52,122,35,26,29,55,127,2330.0,4060.0,2801.0,3717.0,2669.0
121,58,56,119,36,29,33,49,132,E,r,r,o,r
122,60,53,125,37,29,32,50,115,2331.0,4055.0,2796.0,3713.0,2666.0
123,59,49,100,35,28,31,51,123,2331.0,4048.0,2792.0,3711.0,2663.0
124,69,52,105,41,32,32,51,147,2333.0,4030.0,2774.0,3710.0,2655.0
125,76,59,99,42,36,38,52,144,E,r,r,o,r
126,72,55,91,40,33,38,61,145,2332.0,3996.0,2762.0,3709.0,2653.0
127,72,55,75,37,34,37,66,143,2331.0,3986.0,2760.0,3708.0,2655.0
128,78,54,64,35,35,37,68,147,2330.0,3970.0,2757.0,3707.0,2658.0
129,64,53,52,27,33,43,72,129,2330.0,3970.0,2757.0,3706.0,2658.0
130,64,65,50,25,30,44,74,127,2330.0,3960.0,2757.0,3706.0,2657.0
131,66,68,57,23,29,46,72,103,2330.0,3946.0,2759.0,3707.0,2655.0
132,66,72,66,25,31,54,81,122,2330.0,3946.0,2758.0,3707.0,2656.0
133,65,72,67,33,33,63,151,109,E,r,r,o,r
134,79,81,80,40,35,61,154,120,2330.0,3944.0,2762.0,3706.0,2656.0
135,79,71,84,41,36,58,156,127,2332.0,3939.0,2794.0,3697.0,2654.0
