,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Thumb,Index,Middle,Ring,Pinkie
0,147,35,49,131,33,45,22,33,2601.0,4075.0,3047.0,3970.0,2845.0
1,107,37,49,134,36,48,27,34,2579.0,4073.0,3066.0,3972.0,2838.0
2,100,34,53,130,39,49,29,29,2578.0,4073.0,3066.0,3972.0,2838.0
3,146,36,44,124,35,55,29,33,2579.0,4073.0,3066.0,3972.0,2838.0
4,142,34,44,120,36,59,27,32,2578.0,4073.0,3066.0,3972.0,2838.0
5,138,32,44,117,38,59,30,33,2579.0,4073.0,3066.0,3972.0,2838.0
6,155,32,45,121,40,57,25,32,2578.0,4073.0,3066.0,3972.0,2838.0
7,188,39,46,125,36,58,25,37,2579.0,4073.0,3066.0,3972.0,2838.0
8,156,38,57,123,35,56,27,37,2579.0,4073.0,3066.0,3972.0,2838.0
9,151,39,57,120,42,45,26,37,2579.0,4073.0,3066.0,3972.0,2838.0
10,189,39,62,138,44,49,23,38,2578.0,4073.0,3066.0,3972.0,2838.0
11,185,40,60,133,43,48,23,40,2578.0,4073.0,3066.0,3972.0,2839.0
12,153,35,55,120,40,47,21,36,2579.0,4073.0,3066.0,3972.0,2838.0
13,178,34,54,137,43,50,23,35,2579.0,4073.0,3066.0,3972.0,2838.0
14,189,35,56,148,35,47,25,35,2578.0,4073.0,3066.0,3972.0,2839.0
15,154,33,53,147,31,45,26,36,2578.0,4073.0,3066.0,3972.0,2838.0
16,168,35,56,144,32,52,28,38,2578.0,4073.0,3066.0,3972.0,2838.0
17,184,40,59,140,37,63,31,40,2578.0,4073.0,3065.0,3972.0,2838.0
18,164,39,49,125,35,58,30,42,2578.0,4073.0,3065.0,3972.0,2839.0
19,171,41,52,117,41,59,28,43,2578.0,4073.0,3066.0,3972.0,2838.0
20,172,44,52,103,42,59,29,41,2578.0,4073.0,3066.0,3972.0,2838.0
21,164,42,52,117,42,52,26,40,2578.0,4073.0,3066.0,3972.0,2838.0
22,149,35,52,135,43,39,24,40,2578.0,4073.0,3066.0,3972.0,2838.0
23,180,36,56,157,43,44,24,38,E,r,r,o,r
24,164,32,51,153,44,45,25,36,2578.0,4073.0,3066.0,3972.0,2838.0
